LKS 2026 - MODUL A: ORGANISASI DAN MANAJEMEN KERJA (8 poin - Judgement)
Tim No:,Nama Tim:,Kontingen:,Hari Penilaian:,Tanggal:
Juri 1:,Juri 2:,Juri 3:
Sub-Kriteria,Deskripsi,Max Mark,Juri 1 (0-3),Juri 2 (0-3),Juri 3 (0-3),Rata-rata,Skor Akhir (rata x max/3),Catatan
A1,Efisiensi Penjadwalan Kerja,2.0,,,,,,
A2,Kolaborasi Tim dan Manajemen Tugas,2.0,,,,,,
A3,Organisasi dan Kerapian Area Kerja (5S),2.0,,,,,,
A4,Restorasi Area Kerja,2.0,,,,,,
TOTAL MODUL A,,8.0,,,,,,
Selisih Max-Min per aspek: jika >= 2 ULANGI PENILAIAN,,,,,,,,

RUBRIK A2 - KOLOBORASI TIM
0,Tidak ada pembagian kerja jelas; dominasi/passive; komunikasi buruk
1,Peran jelas (mekanik vs programmer); komunikasi aktif; saling mendukung
2,Koordinasi sangat sinkron; solusi cepat saat kendala; manajemen waktu efisien
3,Kepemimpinan profesional; feedback konstruktif; krisis ditangani tenang dan sistematis

RUBRIK A3 - KERAPIAN AREA KERJA
0,Area sangat berantakan; alat/material berserakan; menghalangi gerak
1,Cukup rapi; alat dikembalikan; jalur akses bebas
2,Sangat terorganisir; komponen dikelompokkan; kabel rapi; efisiensi ruang tinggi
3,Standar lab industri; 5S konsisten; restorasi instan tanpa instruksi

Tanda Tangan Juri 1:,Tanda Tangan Juri 2:,Tanda Tangan Juri 3:
Chief Expert:
